Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2019-01-02T16:00:00Z,"NVDA",2019-01-02T17:30:00Z,Buy,3.3825021183,3.369858640725,196435,-2483.62,1964.35,-3068,4772.45,7840.45,0,"	1,2" 
2019-01-02T18:00:00Z,"AMD",2019-01-02T18:30:00Z,Buy,18.77,18.88,29467,3241.37,294.67,0,4714.72,2652.03,1,"	3,4" 
2019-01-03T15:00:00Z,"TSLA",2019-01-03T16:00:00Z,Sell,20.226664644,20.1253313208,16026,1623.97,160.26,-982.93,6036.46,4412.49,1,"	5,8" 
2019-01-03T15:00:00Z,"AMD",2019-01-03T20:59:00Z,Sell,17.57,17.1,35899,16872.53,358.99,-4666.87,22257.38,19026.47,1,"	6,9" 
2019-01-03T15:00:00Z,"NVDA",2019-01-03T20:59:00Z,Sell,3.220616023075,3.182933501675,205734,7752.58,2057.34,-7191.53,10914.81,17953.33,1,"	7,10" 
2019-01-04T15:00:00Z,"AMD",2019-01-04T20:59:00Z,Buy,17.99,18.96,24006,23285.82,240.06,-720.18,25686.42,7201.8,1,"	11,15" 
2019-01-04T15:30:00Z,"TSLA",2019-01-04T16:00:00Z,Buy,20.769997923,20.6206646046,23911,-3570.71,239.11,-4861.9,0,4861.9,0,"	12,14" 
2019-01-04T15:30:00Z,"NVDA",2019-01-04T20:59:00Z,Buy,3.314326503925,3.367379527475,206089,10933.64,2060.89,-2196.95,20385.63,12977.32,1,"	13,16" 
2019-01-07T15:00:00Z,"TSLA",2019-01-07T20:59:00Z,Buy,21.7419978258,22.3286644338,19597,11496.91,195.97,-2077.28,13508.86,6989.6,1,"	17,20" 
2019-01-07T16:00:00Z,"AMD",2019-01-07T20:59:00Z,Buy,20.09,20.57,15731,7550.88,157.31,0,8809.36,4247.37,1,"	18,21" 
2019-01-07T17:00:00Z,"NVDA",2019-01-07T20:59:00Z,Buy,3.5292656227,3.559758715675,148223,4519.78,1482.23,-698.18,9076.3,6320.34,1,"	19,22" 
2019-01-08T15:00:00Z,"NVDA",2019-01-08T17:30:00Z,Sell,3.482906204925,3.4677836141,138443,2093.62,1384.43,-480.5,12287.13,10914.26,1,"	23,28" 
2019-01-08T16:00:00Z,"AMD",2019-01-08T16:30:00Z,Sell,19.75,19.88,15269,-1984.97,152.69,-5496.84,0,5496.84,0,"	25,26" 
2019-01-08T16:00:00Z,"TSLA",2019-01-08T17:00:00Z,Sell,21.8973311436,22.213331112,20161,-6370.88,201.61,-6370.88,766.12,7136.99,0,"	24,27" 
2019-01-09T15:00:00Z,"TSLA",2019-01-09T15:30:00Z,Buy,22.6739977326,22.5379977462,19210,-2612.56,192.1,-3560.25,678.75,4239.01,0,"	29,30" 
2019-01-10T15:00:00Z,"AMD",2019-01-10T15:30:00Z,Sell,19.11,19.34,14735,-3389.05,147.35,-3831.1,0,3831.1,0,"	31,32" 
2019-01-14T15:00:00Z,"TSLA",2019-01-14T15:30:00Z,Sell,22.4386644228,22.6013310732,31340,-5097.97,313.4,-5641.2,1462.53,7103.73,0,"	33,34" 
2019-01-15T15:00:00Z,"TSLA",2019-01-15T19:00:00Z,Buy,22.806664386,22.916664375,30161,3317.71,301.61,0,13290.95,12426.33,1,"	35,36" 
2019-01-16T15:00:00Z,"TSLA",2019-01-16T15:30:00Z,Buy,23.3573309976,23.246664342,20250,-2241,202.5,-3294,1957.5,5251.5,0,"	37,38" 
2019-01-16T17:30:00Z,"AMD",2019-01-16T20:59:00Z,Sell,20.01,19.76,27295,6823.75,272.95,-545.9,7096.7,4640.15,1,"	39,40" 
2019-01-17T20:00:00Z,"AMD",2019-01-17T20:59:00Z,Buy,20.18,20.26,28923,2313.84,289.23,-1446.15,4916.91,2603.07,1,"	41,42" 
2019-01-18T15:00:00Z,"TSLA",2019-01-18T20:59:00Z,Sell,21.2246645442,20.1479979852,26701,28748.07,267.01,-961.24,32699.82,12976.68,1,"	43,48" 
2019-01-18T15:30:00Z,"AMD",2019-01-18T18:00:00Z,Buy,20.56,20.81,27655,6913.75,276.55,0,13274.4,8296.5,1,"	44,46" 
2019-01-18T15:30:00Z,"NVDA",2019-01-18T19:30:00Z,Buy,3.8446088281,3.8654333794,184458,3841.26,1844.58,0,12575.54,9054.39,1,"	45,47" 
2019-01-22T15:00:00Z,"NVDA",2019-01-22T20:59:00Z,Sell,3.76874796265,3.676277038425,193638,17905.88,1936.38,0,21122.22,9553.01,1,"	49,52" 
2019-01-22T18:30:00Z,"AMD",2019-01-22T20:59:00Z,Sell,19.86,19.75,37245,4096.95,372.45,-5214.3,5959.2,6704.1,1,"	50,51" 
2019-01-23T15:00:00Z,"AMD",2019-01-23T15:30:00Z,Buy,20.38,20.09,35706,-10354.74,357.06,-10354.74,3570.6,13925.34,0,"	53,55" 
2019-01-23T15:00:00Z,"NVDA",2019-01-23T15:30:00Z,Buy,3.811140799225,3.7732103665,194890,-7392.26,1948.9,-7392.26,0,7392.26,0,"	54,56" 
