Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2019-01-04T19:01:00Z,"SPXW  190114P02460000",2019-01-07T15:06:00Z,Sell,12.4,7.9,16,7200,20.8,-2080,7680,3520,1,"	1,2" 
2019-01-08T19:01:00Z,"SPXW  190118P02505000",2019-01-09T16:56:00Z,Sell,13.1,8.6,16,7200,20.8,-1120,7760,6880,1,"	3,4" 
2019-01-15T19:01:00Z,"SPXW  190125P02555000",2019-01-17T16:11:00Z,Sell,9.6,6.1,15,5250,19.5,-4950,5550,5325,1,"	5,6" 
2019-01-18T19:01:00Z,"SPXW  190128P02625000",2019-01-25T14:36:00Z,Sell,8.1,2.75,15,8025,19.5,-28575,8587.5,30225,1,"	7,8" 
2019-01-25T19:01:00Z,"SPXW  190204P02615000",2019-01-30T19:06:00Z,Sell,9.5,4.7,15,7200,19.5,-21975,7500,22650,1,"	9,10" 
2019-02-01T19:01:00Z,"SPXW  190211P02665000",2019-02-04T16:06:00Z,Sell,8.6,5.2,14,4760,18.2,-3430,5110,3430,1,"	11,12" 
2019-02-05T19:01:00Z,"SPXW  190215P02685000",2019-02-12T14:36:00Z,Sell,8.6,4.1,14,6300,18.2,-22820,6580,25690,1,"	13,14" 
2019-02-12T19:01:00Z,"SPXW  190222P02705000",2019-02-13T20:36:00Z,Sell,9,5.9,14,4340,18.2,-1540,4760,3360,1,"	15,16" 
2019-02-15T19:01:00Z,"SPXW  190225P02730000",2019-02-19T15:01:00Z,Sell,7.5,4.8,14,3780,18.2,-210,3920,1400,1,"	17,18" 
2019-02-19T19:01:00Z,"SPXW  190301P02735000",2019-02-22T14:56:00Z,Sell,8.6,5.4,14,4480,18.2,-3570,4760,7140,1,"	19,20" 
2019-02-22T19:01:00Z,"SPXW  190304P02750000",2019-02-25T14:36:00Z,Sell,7.1,3.6,14,4900,18.2,-2940,5320,3290,1,"	21,22" 
2019-02-26T19:01:00Z,"SPXW  190308P02750000",2019-03-01T14:36:00Z,Sell,9.1,4.5,14,6440,18.2,-8190,6832,10430,1,"	23,24" 
2019-03-01T19:01:00Z,"SPXW  190311P02760000",2019-03-04T14:36:00Z,Sell,6.8,3.8,14,4200,18.2,-420,4620,770,1,"	25,26" 
2019-03-05T19:01:00Z,"SPXW  190315P02745000",2019-03-11T16:06:00Z,Sell,9.4,6.1,15,4950,19.5,-40725,5325,43425,1,"	27,28" 
2019-03-12T18:01:00Z,"SPXW  190322P02755000",2019-03-13T14:56:00Z,Sell,8.9,5.8,14,4340,18.2,-3500,4620,3710,1,"	29,30" 
2019-03-15T18:01:00Z,"SPXW  190325P02790000",2019-03-18T20:07:00Z,Sell,6.4,4.1,14,3220,18.2,-2450,3500,3780,1,"	31,32" 
2019-03-19T18:01:00Z,"SPXW  190329P02795000",2019-03-21T17:31:00Z,Sell,8.4,5.5,14,4060,18.2,-10990,4410,11760,1,"	33,34" 
2019-03-22T18:01:00Z,"SPXW  190401P02750000",2019-03-26T13:36:00Z,Sell,10.5,3.5,15,10500,19.5,-5775,11100,11400,1,"	35,36" 
2019-03-26T18:01:00Z,"SPXW  190405P02755000",2019-03-27T13:36:00Z,Sell,10.5,6.7,15,5700,19.5,-1650,6525,2475,1,"	37,38" 
2019-03-29T18:01:00Z,"SPXW  190408P02785000",2019-04-01T13:36:00Z,Sell,8,2.8,15,7800,19.5,-525,7987.5,1800,1,"	39,40" 
2019-04-02T18:01:00Z,"SPXW  190412P02825000",2019-04-03T15:36:00Z,Sell,7.6,4.9,15,4050,19.5,-900,4350,2325,1,"	41,42" 
2019-04-05T18:01:00Z,"SPXW  190415P02860000",2019-04-08T20:08:00Z,Sell,6.2,4,14,3080,18.2,-2940,3290,3570,1,"	43,44" 
2019-04-12T18:01:00Z,"SPXW  190422P02875000",2019-04-16T13:36:00Z,Sell,5.3,2.3,14,4200,18.2,-2030,4480,3710,1,"	45,46" 
2019-04-16T18:01:00Z,"SPXW  190426P02875000",2019-04-23T13:36:00Z,Sell,7.2,2.5,14,6580,18.2,-4480,6860,7210,1,"	47,48" 
2019-04-26T18:01:00Z,"SPXW  190506P02890000",2019-04-29T13:46:00Z,Sell,6.8,4.4,14,3360,18.2,-1260,3780,1260,1,"	49,50" 
2019-04-30T18:01:00Z,"SPXW  190510P02900000",2019-05-03T16:31:00Z,Sell,7.8,5.2,15,3900,19.5,-24195,4350,26895,1,"	51,52" 
2019-05-03T18:01:00Z,"SPXW  190513P02910000",2019-05-07T13:51:00Z,Sell,7.3,32.9,14,-35840,18.2,-36610,840,37450,0,"	53,54" 
